id,name,age,height_meter,weight_kg,children,occupation,academic_degree,salary,location
349,Hedy Sears,56,1.56,48,5,Stage Manager,PhD,88,Louisiana
350,Kati Potts,36,1.59,85,2,Nurseryman,PhD,79,South Dakota
351,Heide Clemons,47,1.81,78,3,Security Guard,PhD,87,Alaska
352,Madie Bowman,62,1.7,44,1,Gardener,Master,77,Alaska
353,Lurline Wells,50,1.62,54,3,Locum Pharmacist,Master,82,West Virginia
354,Khalilah Williamson,46,1.66,75,5,Aerial Erector,Master,67,Louisiana
355,Melania Patterson,20,1.62,80,0,Stockman,Master,78,Alaska
356,Eugene Herring,56,1.84,83,2,Engineer,PhD,73,South Dakota
357,Lavone Haley,23,1.81,52,1,Tacker,Bachelor,72,Louisiana
358,Shanti Richard,55,1.99,61,3,Waitress,Master,65,Alaska
359,Waltraud Sawyer,54,1.83,51,1,Car Valet,PhD,66,Delaware
360,Sebrina Logan,48,1.85,42,4,Councillor,Bachelor,81,West Virginia
361,Yevette Vega,35,1.75,74,4,Graphic Designer,Bachelor,70,Louisiana
362,Madie Stevens,45,1.76,45,5,Jockey,PhD,85,West Virginia
363,Tai Bradley,23,1.95,66,0,Sports Administrator,Bachelor,80,Alaska
364,Tomoko Hobbs,44,1.73,41,4,Steeplejack,PhD,75,Alaska
365,Lillia Price,60,1.51,54,0,Lawyer,PhD,68,Delaware
366,Cathern Barton,39,1.71,82,0,Valve Technician,Bachelor,78,West Virginia
367,Carolyne Weiss,36,1.74,56,3,Hotel Consultant,Bachelor,86,West Virginia
368,Refugia Hansen,66,2,62,3,Publishing Manager,Master,82,South Dakota
369,Charlsie Page,47,1.98,72,1,Porter,Bachelor,67,Alaska
370,Genny Lynn,34,1.7,46,5,Liaison Officer,Bachelor,75,South Dakota
371,Annabell Francis,67,1.73,84,4,Script Writer,PhD,77,Louisiana
372,Myrle Short,18,1.61,67,2,Guest House Proprietor,Master,86,Louisiana
373,Gudrun West,47,1.94,86,0,Assistant,PhD,78,South Dakota
374,Rebbecca Miranda,30,1.88,39,1,Joinery Consultant,Bachelor,81,Alaska
375,Crissy Mcmillan,57,1.52,76,5,Barman,Bachelor,89,West Virginia
376,Beaulah Henson,58,1.72,72,1,Bodyshop,Bachelor,79,South Dakota
377,Terrilyn Floyd,31,1.62,84,4,Pasteuriser,PhD,73,Louisiana
378,Luba Dixon,26,1.65,47,5,Training Officer,Bachelor,74,West Virginia
379,Rachele Frank,62,1.64,73,4,Hosiery Worker,PhD,80,South Dakota
380,Riva Mathews,19,1.75,60,5,Quality Engineer,PhD,85,Louisiana
381,Lourie Pearson,33,1.71,47,2,Publican,Bachelor,87,Delaware
382,Waneta Joyner,37,1.62,52,2,Geophysicist,Master,82,South Dakota
383,Brittni Maynard,53,1.71,64,4,Treasurer,Bachelor,78,South Dakota
384,Ngoc Dotson,32,1.63,59,5,Camera Repairer,Master,68,West Virginia
385,Mila Bradshaw,25,1.77,50,0,Merchant,Master,85,Delaware
386,Avril Taylor,49,1.54,89,4,Wood Cutter,Bachelor,87,Alaska
387,Song Cruz,50,1.93,59,2,Aircraft Surface Finisher,Bachelor,87,Alaska
388,Hae Wood,44,1.87,85,3,Magistrate,PhD,80,West Virginia
389,Irina Henderson,33,1.96,73,2,Mortgage Broker,Master,79,Louisiana
390,Shenna Lowery,27,1.82,57,2,Procurator Fiscal,PhD,77,Delaware
391,Tatum Johns,56,1.55,84,3,Patent Agent,Bachelor,81,Delaware
392,Mikki Gaines,22,1.71,74,1,Glazier,Bachelor,73,West Virginia
393,Keila Martinez,39,1.97,75,5,Sales Support,Master,90,Louisiana
394,Emeline Cooley,35,1.66,62,4,Map Mounter,Master,65,Alaska
395,Yukiko Nixon,64,1.97,59,2,Technical Analyst,PhD,74,Louisiana
396,Talitha Jarvis,55,1.58,88,2,Homecare Manager,Bachelor,86,West Virginia
397,Yee King,27,1.59,72,5,Booking Clerk,PhD,79,Louisiana
398,Arminda Solomon,48,1.92,90,5,Barman,Bachelor,76,Alaska
399,Quiana Cantrell,53,1.92,52,0,Gravel Merchant,Bachelor,89,Louisiana
400,Janyce Lane,42,1.73,41,4,Tax Inspector,PhD,79,Alaska
401,Synthia Andrews,30,1.5,73,3,Aerobic Instructor,Bachelor,87,Delaware
402,Venice Preston,54,1.64,56,0,Textile Engineer,PhD,77,Delaware
403,Ronni Schultz,67,1.97,49,0,Chartered,PhD,78,South Dakota
404,Elly Donovan,38,1.6,71,2,Press Operator,Master,88,West Virginia
405,Olimpia Bolton,63,1.69,63,3,Maid,PhD,90,West Virginia
406,Jeremy Frank,42,1.84,43,5,Assessor,Bachelor,86,Delaware
407,Paulita Harmon,49,1.69,68,0,Advertising Contractor,PhD,66,Delaware
408,Francisco Boone,50,1.75,65,5,Piano Tuner,PhD,83,Alaska
409,Colene Valenzuela,24,1.76,40,1,Laminator,PhD,79,South Dakota
410,Simonne Farley,51,1.52,42,5,Mining Consultant,PhD,79,South Dakota
411,Arlinda Cochran,64,1.96,58,0,Judge,PhD,69,West Virginia
412,Eleonora Riggs,59,1.91,90,3,Cafe Owner,Master,69,South Dakota
413,Evelyne Mays,48,1.62,62,5,Valuer,Master,90,Alaska
414,Natashia Rivas,39,1.87,88,5,Calibration Manager,PhD,84,West Virginia
415,Marin Beard,59,1.55,52,0,Plant Manager,PhD,67,Alaska
416,Olevia Wyatt,61,1.89,39,5,Meter Reader,Master,82,West Virginia
417,Talitha Delaney,38,1.68,62,3,IT Consultant,PhD,85,West Virginia
418,Myung Bowers,52,1.89,56,1,Butler,Bachelor,66,Louisiana
419,Kiesha Castillo,22,1.69,88,5,Groundsman,PhD,72,Alaska
420,Nicholle Gamble,32,1.68,43,0,Orthoptist,Master,88,South Dakota
421,Melda Roberts,45,1.63,46,0,Ice Cream Vendor,Master,68,South Dakota
422,Serita Mathis,46,1.78,64,0,Area Manager,Bachelor,70,Alaska
423,Marylyn Mason,19,1.55,76,2,Radio Controller,Bachelor,66,Alaska
424,Laurene Hines,21,1.69,43,5,Wood Worker,Bachelor,74,Alaska
425,Twana Church,41,1.84,48,1,Merchant Banker,Master,78,Delaware
426,Kimber Kirkland,33,1.57,48,3,Mill Operator,Master,81,West Virginia
427,Leighann Kent,54,1.89,61,2,Marble Mason,PhD,86,Delaware
428,Taren Mcmillan,28,1.81,67,0,Gambler,Master,70,South Dakota
429,Aleida Wilkerson,57,1.7,77,3,Physicist,Master,77,Louisiana
430,Man Hoover,61,1.91,79,4,Gamekeeper,Master,72,West Virginia
431,Luba Mendoza,55,1.97,50,3,Panel Beater,Bachelor,69,Delaware
432,Onie Wright,47,1.66,85,5,Technical Director,PhD,85,Alaska
433,Junko Gentry,47,1.69,90,3,Professional Wrestler,Bachelor,73,South Dakota
434,Hwa Mcleod,47,2,49,5,Warehouse Manager,Bachelor,74,Louisiana
435,Shawanda Whitley,28,1.85,66,2,Bus Company,Master,67,West Virginia
436,Temeka Cardenas,40,1.82,53,2,Groundsman,PhD,83,Alaska
437,Renay Salazar,58,1.69,66,4,Tank Farm Operative,PhD,78,Alaska
438,Ozie Lucas,47,1.75,82,3,Vehicle Technician,Bachelor,74,Delaware
439,Melania Perkins,42,1.95,72,4,Cargo Operator,Bachelor,80,South Dakota
440,Karena Nolan,33,1.83,48,5,Balloonist,PhD,77,Louisiana
441,Ossie Workman,40,1.88,88,3,Civil Servant,Bachelor,83,Alaska
442,Cordie Elliott,62,1.61,85,4,Wine Merchant,PhD,74,South Dakota
443,Jeanett Hughes,60,1.69,67,5,Telex Operator,Bachelor,77,Alaska
444,Mariette Avila,18,1.74,56,3,Carpenter,Bachelor,83,South Dakota
445,Elane Graham,56,1.66,67,1,Training Officer,Master,88,West Virginia
446,Marleen Kane,36,1.55,84,5,Special Needs,Master,89,Delaware
447,Carmelia Frank,56,1.52,83,0,Applications Engineer,Master,90,Alaska
448,Dannielle Osborne,32,1.9,85,1,Trade Union Official,Bachelor,85,Delaware
449,Yuonne Chaney,57,1.67,65,3,Literary Agent,Master,73,Delaware
450,Glady Colon,58,1.82,65,3,Art Restorer,PhD,68,South Dakota
451,Hildred Hunter,37,1.8,62,0,Landworker,Bachelor,90,West Virginia
452,Laine Riggs,20,1.85,88,0,Chiropractor,PhD,83,Alaska
453,Gracia Hahn,64,1.66,67,0,Medical Advisor,PhD,69,South Dakota
454,Taisha Logan,36,1.98,58,4,Radiologist,PhD,75,West Virginia
455,Nisha Mckenzie,29,1.56,60,3,Horse Trader,PhD,71,Delaware
456,Leana Walters,52,1.81,43,5,Furniture Restorer,Master,76,Louisiana
457,Delila Dominguez,50,1.65,49,2,Gas Mechanic,PhD,73,Delaware
458,Nguyet Hoffman,34,1.8,74,3,Screen Printer,Bachelor,80,Alaska
459,Susy Mosley,65,1.77,79,1,Welfare Rights Officer,Bachelor,75,South Dakota
460,Tajuana Flowers,47,1.57,58,3,Blind Assembler,Master,67,Delaware
461,Alica Kerr,66,1.57,90,3,Yard Manager,PhD,72,West Virginia
462,Tanja Hewitt,53,1.84,64,5,Signwriter,Master,76,South Dakota
463,Fidelia Boone,43,1.78,88,1,Nuclear Scientist,Bachelor,65,Alaska
464,Krysten Decker,52,1.77,48,3,Telecommunications,PhD,68,West Virginia
465,Tisa Bullock,41,1.79,55,4,Project Engineer,PhD,86,Alaska
466,Babette Roberson,55,1.86,72,1,Seaman,Bachelor,77,Alaska
467,Kanesha Fox,24,1.94,40,3,Medical Assistant,Master,86,Delaware
468,Chu Howe,48,1.93,45,1,Labelling Operator,PhD,65,Louisiana
469,Martin Strong,53,1.86,78,3,Highway Inspector,PhD,75,Louisiana
470,Edda Russell,32,1.6,51,0,Potter,PhD,85,South Dakota
471,Lanell Meadows,58,1.77,58,5,Nun,Master,79,Alaska
472,Kiera Williams,59,1.93,81,0,Gambler,Master,78,South Dakota
473,Brynn Ferrell,26,1.93,46,5,Furnace Man,Bachelor,66,South Dakota
474,Elinore Pittman,37,1.66,53,5,Reflexologist,Master,80,South Dakota
475,Elayne Mcdowell,24,1.82,78,3,Public House Manager,Master,72,Louisiana
476,Celinda Morton,26,1.9,87,0,Resin Caster,PhD,77,West Virginia
477,Laila Paul,41,1.97,61,3,Technical Advisor,Master,86,Louisiana
478,Agripina Sweet,44,1.89,84,0,Stage Hand,PhD,83,Delaware
479,Meg Steele,44,1.53,72,3,Lawyer,Master,85,South Dakota
480,Jacqulyn Kline,49,1.63,56,2,Violinist,PhD,84,West Virginia
481,Donella Mccall,35,1.93,88,2,Barman,Bachelor,66,Alaska
482,Corliss Moreno,31,1.89,67,0,Food Processor,Bachelor,79,West Virginia
483,Sammy Jackson,33,1.5,65,1,Funeral Furnisher,PhD,76,South Dakota
484,Leonarda Chandler,61,1.94,55,0,Producer,Master,76,Louisiana
485,Cheree Hampton,59,1.83,79,1,Biochemist,Master,76,South Dakota
486,Lezlie Puckett,43,1.85,52,3,Catering Manager,PhD,73,Delaware
487,Colby Acevedo,25,1.61,42,1,Lift Attendant,PhD,79,South Dakota
488,Sau Alford,60,1.5,59,0,Scientist,PhD,71,Louisiana
489,Dorathy Keith,19,1.54,62,0,Choreographer,Bachelor,66,Alaska
490,Loni Haley,33,1.94,46,3,Furniture Dealer,PhD,69,Louisiana
491,Elene Bird,31,1.77,38,4,Hearing Therapist,Master,67,Louisiana
492,Marvis Preston,31,1.61,85,1,Royal Marine,PhD,83,Delaware
493,Sandie Strickland,32,1.61,44,1,Flying Instructor,PhD,75,Delaware
494,Natashia Gray,56,1.98,58,1,Marine Consultant,Master,65,Alaska
495,Chi Duffy,27,1.78,76,5,Motor Fitter,PhD,69,Louisiana
496,Antonio Stanton,34,1.92,57,1,Trainee Manager,PhD,90,Delaware
497,Tilda Conley,25,1.87,56,5,Blinds Installer,Bachelor,86,South Dakota
498,Tanja Hartman,26,1.56,69,5,Bus Valeter,PhD,65,Alaska
499,Allen Guerrero,33,1.97,46,3,School Crossing,Master,83,Alaska
500,Yasuko Page,19,1.59,68,0,Airport Manager,PhD,70,Alaska
501,Carmelina Alvarez,21,1.63,40,0,Repairer,PhD,69,West Virginia
502,Lashawnda Morin,51,1.86,87,3,Screen Writer,PhD,68,South Dakota
503,Pamila Boone,48,1.82,72,4,Grocer,Master,79,Alaska
504,Cherryl Fuentes,50,1.54,51,1,Typewriter Engineer,Master,83,South Dakota
505,Nicolasa Mckee,46,1.82,79,5,Building Estimator,Master,81,Delaware
506,Rutha Ramos,57,1.98,53,0,Make Up Artist,Bachelor,66,Louisiana
507,Rossie Burke,37,1.73,76,0,Outdoor Pursuits,PhD,79,South Dakota
508,Gary Burris,21,1.51,46,5,Aerial Erector,Bachelor,80,West Virginia
509,Tashia Williams,45,1.67,71,5,Maths Teacher,Bachelor,86,South Dakota
510,Min Cabrera,49,1.87,55,5,English Teacher,Bachelor,87,West Virginia
511,Mana Schwartz,22,1.71,71,0,Medical Assistant,PhD,67,Alaska
512,Chanell Knight,56,1.73,61,0,Television Producer,PhD,69,South Dakota
513,Fernande Haley,26,1.58,87,0,Economist,Bachelor,73,Louisiana
514,Tiffaney Acosta,58,1.52,38,1,Baptist Minister,Master,83,Louisiana
515,Merissa Harris,63,1.96,49,0,Weighbridge Operator,PhD,75,West Virginia
516,Rebbecca Dean,56,1.66,64,5,Patent Agent,Master,81,Alaska
517,Chante Mccormick,47,1.69,70,5,Biologist,Bachelor,81,Louisiana
518,Jenee Schneider,45,1.76,40,3,Bus Company,Master,68,South Dakota
519,Lannie Rosa,59,1.92,58,0,Weighbridge Operator,Master,85,Louisiana
520,Alethea Hall,64,1.6,74,2,Magistrate,Master,71,West Virginia
521,Michiko Mclean,46,1.99,87,1,Violin Maker,Bachelor,72,West Virginia
522,Elvie Aguirre,39,1.97,39,1,Van Driver,Master,79,West Virginia
523,Alica Wilkinson,44,1.67,86,5,Publican,PhD,88,South Dakota
524,Lili Brown,38,1.6,53,3,Technical Engineer,Bachelor,78,Alaska
525,Eleanora Pittman,60,1.64,40,1,Training Consultant,Master,73,Alaska
526,Ming Jacobson,27,1.99,43,4,Charge Hand,PhD,86,West Virginia
527,Dorian Mueller,22,1.91,42,4,Brewery Worker,Master,67,South Dakota
528,Donetta Dixon,23,1.65,58,3,Pest Controller,Master,78,South Dakota
529,Shanel Farmer,65,1.62,50,1,Clergyman,Bachelor,88,Alaska
530,Dakota Chavez,26,1.72,58,3,Floor Layer,PhD,82,South Dakota
531,Meg Woods,55,1.89,66,2,Steward,Master,82,Louisiana
532,Delpha Bradford,39,1.58,81,2,Auxiliary Nurse,Bachelor,86,South Dakota
533,Madelene Carter,44,1.55,53,2,Remedial Therapist,PhD,76,West Virginia
534,Bethel Osborne,64,1.65,90,1,Assembly Worker,Master,66,Alaska
535,Shane Mathews,56,1.87,53,0,Steeplejack,Bachelor,74,Alaska
536,Edra Burton,24,1.51,87,1,Fuel Merchant,Bachelor,83,Louisiana
537,Ozella Hancock,31,1.84,79,0,Maths Teacher,Bachelor,69,West Virginia
538,Anisha Berger,32,1.6,79,3,Foundry Worker,Bachelor,68,Alaska
539,Maira Bush,53,1.52,67,0,Home Economist,PhD,76,South Dakota
540,Rosenda Sherman,66,1.86,69,0,Quality Technician,PhD,73,Louisiana
541,Rima Clay,32,1.68,49,2,Minicab Driver,Master,90,West Virginia
542,Ellis Barber,53,1.81,77,1,Nurseryman,Master,89,Louisiana
543,Qiana Townsend,57,1.78,41,0,Minibus Driver,Master,86,Louisiana
544,Dusty Hogan,19,1.6,89,4,Marine Geologist,PhD,84,Alaska
545,Xiao Sandoval,19,1.51,62,5,Probation Worker,Master,70,Alaska
546,Yael Roy,62,1.74,74,4,Patrolman,Master,89,Alaska
547,Kindra Coffey,39,1.51,76,1,Artexer,Master,76,South Dakota
548,Bruna Sears,29,2,71,2,Lithographer,Bachelor,69,Louisiana
549,Creola Dudley,60,1.83,55,4,Bodyguard,Bachelor,77,South Dakota
550,Ngoc Gregory,27,1.97,49,1,Lorry Driver,PhD,88,South Dakota
551,Louetta Schultz,23,1.87,60,4,Art Dealer,PhD,88,Louisiana
552,Marya Wiley,31,1.78,47,4,Immigration Officer,Master,77,West Virginia
553,Willodean Frye,47,1.59,40,0,Bodyshop,Bachelor,75,Delaware
554,Jaquelyn Ashley,41,1.76,38,2,Investment Banker,Bachelor,74,Alaska
555,Margeret Potter,67,1.59,89,2,Bookmaker,Bachelor,83,Louisiana
556,Ellan Mckee,23,1.85,47,0,Travel Agent,Master,66,Delaware
557,Catherin Haney,28,1.85,80,3,China Restorer,Master,89,Louisiana
558,Leonarda Garza,21,1.57,48,5,Shipyard Worker,PhD,86,South Dakota
559,Suzi Newton,35,1.66,83,4,Printer,Bachelor,79,West Virginia
560,Garnett Hardy,49,1.65,82,2,Fork Lift Truck Driver,Bachelor,84,West Virginia
561,Adriene Wilkerson,44,1.85,74,3,Assistant Caretaker,Bachelor,73,Delaware
562,Louie Ware,66,1.9,77,1,Circus Proprietor,Master,81,South Dakota
563,Ehtel Gill,40,1.87,53,2,Pastry Chef,Bachelor,78,South Dakota
564,Cira Sherman,36,1.85,78,5,Pipe Insulator,Master,86,Louisiana
565,Alla Espinoza,49,1.6,82,0,Postwoman,Master,81,Alaska
566,Danika Powers,20,1.5,62,3,Saw Miller,Bachelor,72,West Virginia
567,Raeann Kirkland,56,1.94,60,4,Public House Manager,Bachelor,66,South Dakota
568,Song Salas,31,1.93,79,5,Licensing,Bachelor,74,Delaware
569,Shan Blair,67,1.9,40,2,Analyst,Master,69,Alaska
570,Keira William,36,1.55,59,1,Public House Manager,Bachelor,75,South Dakota
571,Celesta Manning,18,1.97,43,2,Tax Consultant,PhD,80,West Virginia
572,Arica Hopkins,29,1.97,48,4,Ship Broker,Bachelor,69,West Virginia
573,Brande Britt,52,1.67,50,3,Welfare Assistant,PhD,87,Delaware
574,Whitley Espinoza,50,1.83,57,1,Charity Worker,Bachelor,82,Alaska
575,Noella Mccormick,22,1.77,69,1,Blinds Installer,Master,77,South Dakota
576,Ailene Holt,45,1.54,90,5,Tanner,Bachelor,65,West Virginia
577,Consuela Ayala,22,1.6,78,2,Car Valet,Master,75,Louisiana
578,Deedee Fry,45,1.89,68,3,Medical Practitioner,Bachelor,83,West Virginia
579,Xuan Harvey,63,1.59,62,2,IT Trainer,Master,85,West Virginia
580,Bebe English,36,1.72,54,1,Merchant Banker,PhD,68,West Virginia
581,Camellia Casey,19,1.88,80,0,Carpenter,PhD,75,Delaware
582,Maricruz Scott,57,1.77,86,4,Lighterman,PhD,79,Alaska
583,Calandra Sosa,23,1.69,71,3,Tutor,PhD,78,South Dakota
584,Silvana Mccoy,33,1.94,68,2,Camera Repairer,Master,78,Louisiana
585,Arthur Lambert,43,1.79,71,4,Golf Club Professional,Bachelor,81,South Dakota
586,Setsuko Clayton,43,1.97,48,1,Instructor,Bachelor,74,Alaska
587,Barbera Holland,32,1.54,81,3,Investment Manager,PhD,75,Delaware
588,Ellan Smith,22,1.8,58,5,Building Inspector,Bachelor,81,South Dakota
589,Ngan Mathews,51,1.7,58,2,Training Consultant,Master,81,Delaware
590,Allena Rutledge,67,1.85,75,4,Saw Miller,Bachelor,76,Alaska
591,Raguel Case,64,1.57,75,4,Chimney Sweep,Bachelor,85,Delaware
592,Crissy Russo,33,1.64,72,2,Roofer,Master,68,Delaware
593,Naoma Nixon,34,1.74,76,3,Auctioneer,Bachelor,71,Delaware
594,Kum Herman,56,1.57,76,5,Research Scientist,Bachelor,69,South Dakota
595,Odelia Tyler,29,1.94,82,1,Barrister,PhD,89,West Virginia
596,Simona Ward,47,1.63,61,0,Planning Officer,Master,89,Louisiana
597,Lisha Finley,66,1.92,82,5,Chemist,Bachelor,83,West Virginia
598,Dorotha Frank,61,1.99,66,2,Merchant Seaman,PhD,83,Louisiana
599,Raye Mercer,38,1.82,50,3,Laminator,Master,85,Alaska
600,Sueann Robbins,27,1.76,61,0,Trade Mark Agent,Bachelor,79,South Dakota
601,Carley Fuller,48,1.85,63,1,Transport Engineer,PhD,79,Alaska
602,Ardell Clayton,35,1.6,50,0,Marine Geologist,Bachelor,83,South Dakota
603,Sharell Baxter,40,1.96,83,1,Midwife,Master,81,South Dakota
604,Shela Lane,37,1.7,45,5,Arts,Bachelor,79,West Virginia
605,Ming King,20,1.8,49,3,Watchmaker,Master,66,Alaska
606,Mariella Chase,36,1.92,54,5,Catering Consultant,Master,67,South Dakota
607,Apryl Hartman,57,1.52,74,1,Legal Executive,PhD,84,Louisiana
608,Jennefer Osborne,42,1.6,79,3,Toy Trader,Bachelor,79,Louisiana
609,Alfredia Juarez,53,1.96,79,1,Advertising Assistant,Bachelor,90,South Dakota
610,Kasandra Meyer,46,1.9,57,5,Milklady,Master,90,Louisiana
611,Monserrate Stephens,59,1.67,54,1,Stone Cutter,Master,71,Alaska
612,Tula Silva,56,1.81,75,0,Administrator,PhD,80,Louisiana
613,Misha Mayer,27,1.82,76,2,Off Shore,PhD,66,West Virginia
614,Danika Kemp,24,1.53,55,5,Payroll Manager,Master,90,Alaska
615,Keira Noble,63,1.86,79,2,Immigration Officer,Bachelor,67,Louisiana
616,Tracee Rocha,59,1.62,41,4,Restaurateur,PhD,70,South Dakota
617,Lovetta Pacheco,33,1.57,39,5,Telephonist,Master,87,West Virginia
618,Kaylene Villarreal,46,1.71,62,5,Astronomer,PhD,81,Louisiana
619,Ha Good,57,1.86,52,5,Turkey Farmer,PhD,70,Alaska
620,Sina Villarreal,41,1.97,60,4,Oil Broker,Bachelor,74,West Virginia
621,Gertha Ford,44,1.55,46,5,Mathematician,PhD,89,Alaska
622,Gigi Wilder,61,1.84,59,5,Cashier,Bachelor,84,South Dakota
623,Mathilde Day,58,1.87,57,3,Piano Tuner,Master,85,Alaska
624,Keiko Mckay,22,1.65,45,3,Blind Assembler,PhD,75,South Dakota
625,Cassey Joyce,53,1.94,70,0,Quality Inspector,PhD,86,West Virginia
626,Leeanne Hines,36,1.53,47,1,Investigator,Master,73,Louisiana
627,Pia Mcclure,27,1.95,67,1,Park Ranger,PhD,75,South Dakota
628,Georgianne Roth,55,1.54,59,5,Hospital Orderly,Master,86,Delaware
629,Brittny Adkins,40,1.73,51,1,Hardware Dealer,Master,74,West Virginia
630,Ciera Caldwell,26,1.81,78,3,Restaurant Manager,Master,84,South Dakota
631,So Harris,37,1.5,72,1,Psychiatrist,Bachelor,82,West Virginia
632,Ludivina Rivers,59,1.92,50,0,Actuary,PhD,90,Alaska
633,Karine Dejesus,26,1.85,60,2,Fraud Investigator,Bachelor,86,Louisiana
634,Natalya Lancaster,23,1.79,48,0,Bank Messenger,Master,85,West Virginia
635,Lauran Irwin,50,1.86,76,4,Planning Officer,Master,76,South Dakota
636,Dorine Gonzalez,41,2,69,2,Immigration Officer,Bachelor,74,Delaware
637,Particia Arnold,31,1.61,84,1,Laminator,PhD,75,West Virginia
638,Anisha Mcknight,30,1.75,45,2,Auctioneer,Master,72,Delaware
639,Katherina Rollins,27,1.77,41,4,Barmaid,PhD,67,Alaska
640,Danika Nieves,24,1.92,41,5,Editor,Master,81,Louisiana
641,Sari Harper,65,1.56,54,3,Groom,Bachelor,81,South Dakota
642,Alia Franklin,60,1.71,44,5,Training Instructor,Master,75,Louisiana
643,Dusti Hoffman,26,1.92,44,4,English Teacher,Master,84,West Virginia
644,Debbi Russell,27,1.55,50,4,Inventor,Master,70,Delaware
645,Ulrike York,62,1.6,83,3,Nurseryman,Bachelor,89,Louisiana
646,Avril Marks,28,1.75,51,5,Tattooist,Master,88,West Virginia
647,Joie Acosta,20,1.51,43,0,Technical Manager,Bachelor,78,Alaska
648,Clarinda Rowe,61,1.76,84,5,Chiropodist,Master,88,Delaware
649,Joannie Jackson,46,1.99,56,2,Stock Controller,Bachelor,84,Alaska
650,Corrin Shaffer,66,1.59,40,2,Produce Supervisor,PhD,88,West Virginia
651,Loise Holmes,32,1.87,44,0,Advertising Contractor,Bachelor,82,Delaware
652,Franchesca Gibson,37,1.68,66,4,Merchant,PhD,90,West Virginia
653,Cleopatra Hancock,30,1.91,49,0,Research Consultant,Master,76,Louisiana
654,Sharell Farmer,46,1.92,82,3,Scientific Officer,PhD,79,Alaska
655,Fernande Bullock,67,1.57,84,0,Hawker,Bachelor,77,Louisiana
656,Randee Walker,51,1.8,89,4,Shooting Instructor,Bachelor,78,Delaware
657,Myrtie Roth,30,1.68,39,5,Fuel Merchant,Master,90,Louisiana
658,Syreeta Bullock,26,1.94,66,0,Broadcaster,Master,73,South Dakota
659,Lorean Alston,59,1.85,81,4,Library Manager,PhD,80,Alaska
660,Marchelle Lester,53,1.76,82,4,Charge Hand,Master,68,Louisiana
661,Karima Kemp,25,1.67,81,5,Radio Controller,Bachelor,74,South Dakota
662,Bree Allison,66,1.82,48,4,Street Entertainer,Master,70,Alaska
663,Faviola Blake,46,1.88,58,1,Piano Teacher,Master,81,Delaware
664,Bibi Langley,45,1.61,79,3,Resin Caster,Bachelor,67,Delaware
665,Charis James,46,1.72,74,3,Cartographer,Master,76,South Dakota
666,Seema Galloway,44,1.56,69,5,Ambulance Controller,Bachelor,66,West Virginia
667,Particia Hill,50,1.52,73,0,Catering Manager,PhD,76,Delaware
668,Letisha Tyson,42,1.75,51,5,Spring Maker,Master,67,Alaska
669,Meridith Simmons,32,1.53,52,3,Picture Editor,PhD,65,Alaska
670,Shonna Porter,24,1.83,83,3,Delivery Driver,Bachelor,87,Alaska
671,Jeannetta Acosta,27,1.67,78,2,Voluntary Worker,PhD,69,South Dakota
672,Mirtha Perkins,36,1.55,48,3,Gardener,PhD,80,Delaware
673,Pia Bryan,66,1.63,50,1,Floor Layer,Master,87,West Virginia
674,Janene Jacobs,46,1.91,50,5,Planning Technician,Bachelor,84,South Dakota
675,Raguel Bass,23,1.96,81,4,Flying Instructor,Master,65,Alaska
676,Sharika Norman,31,1.79,70,1,Television Engineer,Bachelor,69,Louisiana
677,Verdie Ray,64,1.52,65,4,Tax Inspector,PhD,84,Louisiana
678,Genevie Patrick,45,1.79,84,1,Cinema Manager,Master,68,Alaska
679,Ludie Landry,33,1.94,64,4,Marine Electrician,Master,74,South Dakota
680,Omega Woodard,21,1.67,56,3,Furniture Remover,Bachelor,72,West Virginia
681,Quinn Mendez,58,1.85,85,4,Office Manager,PhD,90,Louisiana
682,Yevette Strong,47,1.66,85,4,Lawn Mower,Bachelor,67,South Dakota
683,Jacki Morales,49,1.86,81,2,Furnace Man,PhD,84,Louisiana
684,Genie Lancaster,19,1.77,78,2,Economist,Master,85,Louisiana
685,Sparkle Mcguire,54,1.79,80,5,Sales Representative,PhD,72,Delaware
686,Victor Fleming,36,1.94,65,0,Transport Clerk,Bachelor,78,South Dakota
687,Annis Harrell,57,1.57,80,0,Inventor,Master,76,Delaware
688,Eusebia Fletcher,54,1.84,47,0,Nurseryman,Bachelor,78,Delaware
689,Willetta Ballard,60,1.68,66,0,Yard Manager,Bachelor,86,South Dakota
690,Nia Dodson,51,1.76,88,5,Music Teacher,PhD,76,South Dakota
691,Bernardina Watkins,51,1.69,64,5,Palaeobotanist,PhD,82,Louisiana
692,Brandon Alvarado,50,1.87,50,4,Sign Maker,Bachelor,82,South Dakota
693,Michelina Rivas,42,1.79,85,4,Insurance Consultant,PhD,80,South Dakota
694,Heidy Foreman,58,1.72,81,0,IT Trainer,Bachelor,77,Alaska
695,Tonda Burris,34,1.69,65,2,Window Cleaner,Master,88,South Dakota
696,Domonique Chang,40,1.79,54,0,Physiotherapist,Master,90,South Dakota
697,Eneida Barr,40,1.58,58,4,Bill Poster,PhD,72,South Dakota
698,Leo Kirby,67,1.89,73,2,Butchery Manager,PhD,83,Alaska
699,Louanne Livingston,26,1.61,49,4,Building Surveyor,PhD,66,Alaska
700,Eufemia Hobbs,52,1.77,63,0,Postman,Bachelor,75,Delaware
